val_r2,val_rmse,test_r2,test_rmse,configuration
-6.28209673222054,0.049733329858826975,0.8889889816917972,0.11843576269694353,"{'model_type': 'transformer', 'transformer': {'dim_feedforward': 128, 'num_encoder_layers': 2, 'nhead': 7, 'shuffle': False, 'dropout': 0.2, 'activation': 'relu', 'batch_first': True, 'hidden_size': 128, 'dense_layers': 2, 'd_model': 273, 'positional_encoding': 'sinusoidal'}, 'optimizer': {'optim_type': 'adam', 'learning_rate': 0.0003, 'weight_decay': 1e-05, 'scheduler': 'cosine'}, 'early_stopper': {'patience': 10, 'min_delta': 0}, 'epochs': 100, 'batch_size': 64, 'loss_fn': 'MCELoss', 'verbose': 0, 'seed': 42, 'device': 'cpu', 'input_size': 273, 'output_size': 7, 'day_target': 1}"
-7.6106272637236945,0.05408000352372401,0.8552691575536888,0.13523227772147545,"{'model_type': 'transformer', 'transformer': {'dim_feedforward': 128, 'num_encoder_layers': 2, 'nhead': 7, 'shuffle': False, 'dropout': 0.2, 'activation': 'relu', 'batch_first': True, 'hidden_size': 128, 'dense_layers': 2, 'd_model': 273, 'positional_encoding': 'sinusoidal'}, 'optimizer': {'optim_type': 'adam', 'learning_rate': 0.0003, 'weight_decay': 1e-05, 'scheduler': 'cosine'}, 'early_stopper': {'patience': 10, 'min_delta': 0}, 'epochs': 100, 'batch_size': 64, 'loss_fn': 'MCELoss', 'verbose': 0, 'seed': 42, 'device': 'cpu', 'input_size': 273, 'output_size': 7, 'day_target': 1}"
-7.797841887733615,0.05466475331582865,0.8649202711773801,0.13064563616175723,"{'model_type': 'transformer', 'transformer': {'dim_feedforward': 128, 'num_encoder_layers': 2, 'nhead': 7, 'shuffle': False, 'dropout': 0.2, 'activation': 'relu', 'batch_first': True, 'hidden_size': 128, 'dense_layers': 2, 'd_model': 273, 'positional_encoding': 'sinusoidal'}, 'optimizer': {'optim_type': 'adam', 'learning_rate': 0.0003, 'weight_decay': 1e-05, 'scheduler': 'cosine'}, 'early_stopper': {'patience': 10, 'min_delta': 0}, 'epochs': 100, 'batch_size': 64, 'loss_fn': 'MCELoss', 'verbose': 0, 'seed': 42, 'device': 'cpu', 'input_size': 273, 'output_size': 7, 'day_target': 1}"
-5.892072673478651,0.04838316120238231,0.8894466363273983,0.11819137859814463,"{'model_type': 'transformer', 'transformer': {'dim_feedforward': 128, 'num_encoder_layers': 2, 'nhead': 7, 'shuffle': False, 'dropout': 0.2, 'activation': 'relu', 'batch_first': True, 'hidden_size': 128, 'dense_layers': 2, 'd_model': 273, 'positional_encoding': 'sinusoidal'}, 'optimizer': {'optim_type': 'adam', 'learning_rate': 0.0003, 'weight_decay': 1e-05, 'scheduler': 'cosine'}, 'early_stopper': {'patience': 10, 'min_delta': 0}, 'epochs': 100, 'batch_size': 128, 'loss_fn': 'MCELoss', 'verbose': 0, 'seed': 42, 'device': 'cpu', 'input_size': 273, 'output_size': 7, 'day_target': 1}"
-7.034247887218207,0.05223864818638068,0.8848455199769883,0.12062580849401978,"{'model_type': 'transformer', 'transformer': {'dim_feedforward': 128, 'num_encoder_layers': 2, 'nhead': 7, 'shuffle': False, 'dropout': 0.2, 'activation': 'relu', 'batch_first': True, 'hidden_size': 128, 'dense_layers': 2, 'd_model': 273, 'positional_encoding': 'sinusoidal'}, 'optimizer': {'optim_type': 'adam', 'learning_rate': 0.0003, 'weight_decay': 1e-05, 'scheduler': 'cosine'}, 'early_stopper': {'patience': 10, 'min_delta': 0}, 'epochs': 100, 'batch_size': 128, 'loss_fn': 'MCELoss', 'verbose': 0, 'seed': 42, 'device': 'cpu', 'input_size': 273, 'output_size': 7, 'day_target': 1}"
-6.663435894227268,0.05101889882135429,0.8759581878416994,0.12519410191255892,"{'model_type': 'transformer', 'transformer': {'dim_feedforward': 128, 'num_encoder_layers': 2, 'nhead': 7, 'shuffle': False, 'dropout': 0.2, 'activation': 'relu', 'batch_first': True, 'hidden_size': 128, 'dense_layers': 2, 'd_model': 273, 'positional_encoding': 'sinusoidal'}, 'optimizer': {'optim_type': 'adam', 'learning_rate': 0.0003, 'weight_decay': 1e-05, 'scheduler': 'cosine'}, 'early_stopper': {'patience': 10, 'min_delta': 0}, 'epochs': 100, 'batch_size': 128, 'loss_fn': 'MCELoss', 'verbose': 0, 'seed': 42, 'device': 'cpu', 'input_size': 273, 'output_size': 7, 'day_target': 1}"
-7.471633953265181,0.05364174625068454,0.8673438370045194,0.12946832627514016,"{'model_type': 'transformer', 'transformer': {'dim_feedforward': 128, 'num_encoder_layers': 4, 'nhead': 7, 'shuffle': False, 'dropout': 0.2, 'activation': 'relu', 'batch_first': True, 'hidden_size': 128, 'dense_layers': 2, 'd_model': 273, 'positional_encoding': 'sinusoidal'}, 'optimizer': {'optim_type': 'adam', 'learning_rate': 0.0003, 'weight_decay': 1e-05, 'scheduler': 'cosine'}, 'early_stopper': {'patience': 10, 'min_delta': 0}, 'epochs': 100, 'batch_size': 64, 'loss_fn': 'MCELoss', 'verbose': 0, 'seed': 42, 'device': 'cpu', 'input_size': 273, 'output_size': 7, 'day_target': 1}"
-7.1704201878370935,0.05267948398739111,0.8667352575320979,0.12976496385096306,"{'model_type': 'transformer', 'transformer': {'dim_feedforward': 128, 'num_encoder_layers': 4, 'nhead': 7, 'shuffle': False, 'dropout': 0.2, 'activation': 'relu', 'batch_first': True, 'hidden_size': 128, 'dense_layers': 2, 'd_model': 273, 'positional_encoding': 'sinusoidal'}, 'optimizer': {'optim_type': 'adam', 'learning_rate': 0.0003, 'weight_decay': 1e-05, 'scheduler': 'cosine'}, 'early_stopper': {'patience': 10, 'min_delta': 0}, 'epochs': 100, 'batch_size': 64, 'loss_fn': 'MCELoss', 'verbose': 0, 'seed': 42, 'device': 'cpu', 'input_size': 273, 'output_size': 7, 'day_target': 1}"
-7.054253775910903,0.05230364685345759,0.8803299242858234,0.12296813909546178,"{'model_type': 'transformer', 'transformer': {'dim_feedforward': 128, 'num_encoder_layers': 4, 'nhead': 7, 'shuffle': False, 'dropout': 0.2, 'activation': 'relu', 'batch_first': True, 'hidden_size': 128, 'dense_layers': 2, 'd_model': 273, 'positional_encoding': 'sinusoidal'}, 'optimizer': {'optim_type': 'adam', 'learning_rate': 0.0003, 'weight_decay': 1e-05, 'scheduler': 'cosine'}, 'early_stopper': {'patience': 10, 'min_delta': 0}, 'epochs': 100, 'batch_size': 64, 'loss_fn': 'MCELoss', 'verbose': 0, 'seed': 42, 'device': 'cpu', 'input_size': 273, 'output_size': 7, 'day_target': 1}"
-8.048168912865664,0.05543699308458203,0.8747951084753609,0.12577967437037035,"{'model_type': 'transformer', 'transformer': {'dim_feedforward': 128, 'num_encoder_layers': 4, 'nhead': 7, 'shuffle': False, 'dropout': 0.2, 'activation': 'relu', 'batch_first': True, 'hidden_size': 128, 'dense_layers': 2, 'd_model': 273, 'positional_encoding': 'sinusoidal'}, 'optimizer': {'optim_type': 'adam', 'learning_rate': 0.0003, 'weight_decay': 1e-05, 'scheduler': 'cosine'}, 'early_stopper': {'patience': 10, 'min_delta': 0}, 'epochs': 100, 'batch_size': 128, 'loss_fn': 'MCELoss', 'verbose': 0, 'seed': 42, 'device': 'cpu', 'input_size': 273, 'output_size': 7, 'day_target': 1}"
-7.684015464375008,0.054309975934685235,0.8611880796581327,0.13243817852039785,"{'model_type': 'transformer', 'transformer': {'dim_feedforward': 128, 'num_encoder_layers': 4, 'nhead': 7, 'shuffle': False, 'dropout': 0.2, 'activation': 'relu', 'batch_first': True, 'hidden_size': 128, 'dense_layers': 2, 'd_model': 273, 'positional_encoding': 'sinusoidal'}, 'optimizer': {'optim_type': 'adam', 'learning_rate': 0.0003, 'weight_decay': 1e-05, 'scheduler': 'cosine'}, 'early_stopper': {'patience': 10, 'min_delta': 0}, 'epochs': 100, 'batch_size': 128, 'loss_fn': 'MCELoss', 'verbose': 0, 'seed': 42, 'device': 'cpu', 'input_size': 273, 'output_size': 7, 'day_target': 1}"
-8.34052244738541,0.056325479881461124,0.8618592265611669,0.13211762545631617,"{'model_type': 'transformer', 'transformer': {'dim_feedforward': 128, 'num_encoder_layers': 4, 'nhead': 7, 'shuffle': False, 'dropout': 0.2, 'activation': 'relu', 'batch_first': True, 'hidden_size': 128, 'dense_layers': 2, 'd_model': 273, 'positional_encoding': 'sinusoidal'}, 'optimizer': {'optim_type': 'adam', 'learning_rate': 0.0003, 'weight_decay': 1e-05, 'scheduler': 'cosine'}, 'early_stopper': {'patience': 10, 'min_delta': 0}, 'epochs': 100, 'batch_size': 128, 'loss_fn': 'MCELoss', 'verbose': 0, 'seed': 42, 'device': 'cpu', 'input_size': 273, 'output_size': 7, 'day_target': 1}"
-9.772338227854476,0.060488707768536314,0.8618498285212508,0.13212211951541775,"{'model_type': 'transformer', 'transformer': {'dim_feedforward': 128, 'num_encoder_layers': 6, 'nhead': 7, 'shuffle': False, 'dropout': 0.2, 'activation': 'relu', 'batch_first': True, 'hidden_size': 128, 'dense_layers': 2, 'd_model': 273, 'positional_encoding': 'sinusoidal'}, 'optimizer': {'optim_type': 'adam', 'learning_rate': 0.0003, 'weight_decay': 1e-05, 'scheduler': 'cosine'}, 'early_stopper': {'patience': 10, 'min_delta': 0}, 'epochs': 100, 'batch_size': 64, 'loss_fn': 'MCELoss', 'verbose': 0, 'seed': 42, 'device': 'cpu', 'input_size': 273, 'output_size': 7, 'day_target': 1}"
-6.035396151014435,0.048883646480581903,0.8619701139046203,0.1320645885675843,"{'model_type': 'transformer', 'transformer': {'dim_feedforward': 128, 'num_encoder_layers': 6, 'nhead': 7, 'shuffle': False, 'dropout': 0.2, 'activation': 'relu', 'batch_first': True, 'hidden_size': 128, 'dense_layers': 2, 'd_model': 273, 'positional_encoding': 'sinusoidal'}, 'optimizer': {'optim_type': 'adam', 'learning_rate': 0.0003, 'weight_decay': 1e-05, 'scheduler': 'cosine'}, 'early_stopper': {'patience': 10, 'min_delta': 0}, 'epochs': 100, 'batch_size': 64, 'loss_fn': 'MCELoss', 'verbose': 0, 'seed': 42, 'device': 'cpu', 'input_size': 273, 'output_size': 7, 'day_target': 1}"
-8.53584053549464,0.056911339325847195,0.8416651124874166,0.14144517158502426,"{'model_type': 'transformer', 'transformer': {'dim_feedforward': 128, 'num_encoder_layers': 6, 'nhead': 7, 'shuffle': False, 'dropout': 0.2, 'activation': 'relu', 'batch_first': True, 'hidden_size': 128, 'dense_layers': 2, 'd_model': 273, 'positional_encoding': 'sinusoidal'}, 'optimizer': {'optim_type': 'adam', 'learning_rate': 0.0003, 'weight_decay': 1e-05, 'scheduler': 'cosine'}, 'early_stopper': {'patience': 10, 'min_delta': 0}, 'epochs': 100, 'batch_size': 64, 'loss_fn': 'MCELoss', 'verbose': 0, 'seed': 42, 'device': 'cpu', 'input_size': 273, 'output_size': 7, 'day_target': 1}"
-7.603416575560155,0.05405735501612336,0.8628585004457692,0.13163890614159202,"{'model_type': 'transformer', 'transformer': {'dim_feedforward': 128, 'num_encoder_layers': 6, 'nhead': 7, 'shuffle': False, 'dropout': 0.2, 'activation': 'relu', 'batch_first': True, 'hidden_size': 128, 'dense_layers': 2, 'd_model': 273, 'positional_encoding': 'sinusoidal'}, 'optimizer': {'optim_type': 'adam', 'learning_rate': 0.0003, 'weight_decay': 1e-05, 'scheduler': 'cosine'}, 'early_stopper': {'patience': 10, 'min_delta': 0}, 'epochs': 100, 'batch_size': 128, 'loss_fn': 'MCELoss', 'verbose': 0, 'seed': 42, 'device': 'cpu', 'input_size': 273, 'output_size': 7, 'day_target': 1}"
-8.757245606332695,0.057568237689047716,0.833051072163934,0.1452418041884012,"{'model_type': 'transformer', 'transformer': {'dim_feedforward': 128, 'num_encoder_layers': 6, 'nhead': 7, 'shuffle': False, 'dropout': 0.2, 'activation': 'relu', 'batch_first': True, 'hidden_size': 128, 'dense_layers': 2, 'd_model': 273, 'positional_encoding': 'sinusoidal'}, 'optimizer': {'optim_type': 'adam', 'learning_rate': 0.0003, 'weight_decay': 1e-05, 'scheduler': 'cosine'}, 'early_stopper': {'patience': 10, 'min_delta': 0}, 'epochs': 100, 'batch_size': 128, 'loss_fn': 'MCELoss', 'verbose': 0, 'seed': 42, 'device': 'cpu', 'input_size': 273, 'output_size': 7, 'day_target': 1}"
-9.515410669268432,0.05976300622404217,0.8521193123222527,0.1366959188626221,"{'model_type': 'transformer', 'transformer': {'dim_feedforward': 128, 'num_encoder_layers': 6, 'nhead': 7, 'shuffle': False, 'dropout': 0.2, 'activation': 'relu', 'batch_first': True, 'hidden_size': 128, 'dense_layers': 2, 'd_model': 273, 'positional_encoding': 'sinusoidal'}, 'optimizer': {'optim_type': 'adam', 'learning_rate': 0.0003, 'weight_decay': 1e-05, 'scheduler': 'cosine'}, 'early_stopper': {'patience': 10, 'min_delta': 0}, 'epochs': 100, 'batch_size': 128, 'loss_fn': 'MCELoss', 'verbose': 0, 'seed': 42, 'device': 'cpu', 'input_size': 273, 'output_size': 7, 'day_target': 1}"
-8.085620290322268,0.05555160454965618,0.860722919980782,0.13265989354645805,"{'model_type': 'transformer', 'transformer': {'dim_feedforward': 256, 'num_encoder_layers': 2, 'nhead': 7, 'shuffle': False, 'dropout': 0.2, 'activation': 'relu', 'batch_first': True, 'hidden_size': 128, 'dense_layers': 2, 'd_model': 273, 'positional_encoding': 'sinusoidal'}, 'optimizer': {'optim_type': 'adam', 'learning_rate': 0.0003, 'weight_decay': 1e-05, 'scheduler': 'cosine'}, 'early_stopper': {'patience': 10, 'min_delta': 0}, 'epochs': 100, 'batch_size': 64, 'loss_fn': 'MCELoss', 'verbose': 0, 'seed': 42, 'device': 'cpu', 'input_size': 273, 'output_size': 7, 'day_target': 1}"
-6.0007605577891985,0.04876316974947837,0.8934243148268237,0.11604565511618463,"{'model_type': 'transformer', 'transformer': {'dim_feedforward': 256, 'num_encoder_layers': 2, 'nhead': 7, 'shuffle': False, 'dropout': 0.2, 'activation': 'relu', 'batch_first': True, 'hidden_size': 128, 'dense_layers': 2, 'd_model': 273, 'positional_encoding': 'sinusoidal'}, 'optimizer': {'optim_type': 'adam', 'learning_rate': 0.0003, 'weight_decay': 1e-05, 'scheduler': 'cosine'}, 'early_stopper': {'patience': 10, 'min_delta': 0}, 'epochs': 100, 'batch_size': 64, 'loss_fn': 'MCELoss', 'verbose': 0, 'seed': 42, 'device': 'cpu', 'input_size': 273, 'output_size': 7, 'day_target': 1}"
-6.733690408064566,0.05125222305352616,0.8892856947015378,0.1182773777667651,"{'model_type': 'transformer', 'transformer': {'dim_feedforward': 256, 'num_encoder_layers': 2, 'nhead': 7, 'shuffle': False, 'dropout': 0.2, 'activation': 'relu', 'batch_first': True, 'hidden_size': 128, 'dense_layers': 2, 'd_model': 273, 'positional_encoding': 'sinusoidal'}, 'optimizer': {'optim_type': 'adam', 'learning_rate': 0.0003, 'weight_decay': 1e-05, 'scheduler': 'cosine'}, 'early_stopper': {'patience': 10, 'min_delta': 0}, 'epochs': 100, 'batch_size': 64, 'loss_fn': 'MCELoss', 'verbose': 0, 'seed': 42, 'device': 'cpu', 'input_size': 273, 'output_size': 7, 'day_target': 1}"
-6.5729735576546755,0.05071688089899463,0.8869897387011869,0.11949748291861925,"{'model_type': 'transformer', 'transformer': {'dim_feedforward': 256, 'num_encoder_layers': 2, 'nhead': 7, 'shuffle': False, 'dropout': 0.2, 'activation': 'relu', 'batch_first': True, 'hidden_size': 128, 'dense_layers': 2, 'd_model': 273, 'positional_encoding': 'sinusoidal'}, 'optimizer': {'optim_type': 'adam', 'learning_rate': 0.0003, 'weight_decay': 1e-05, 'scheduler': 'cosine'}, 'early_stopper': {'patience': 10, 'min_delta': 0}, 'epochs': 100, 'batch_size': 128, 'loss_fn': 'MCELoss', 'verbose': 0, 'seed': 42, 'device': 'cpu', 'input_size': 273, 'output_size': 7, 'day_target': 1}"
